Month,HM-NE,HM-SW,HM-NW,HM-SE,HM-C
Jan,1419482.0,1397058.5,1393501.0,1375249.75,1349895.25
Feb,1462255.75,1446890.25,1429361.25,1387590.25,1357321.5
Mar,1427740.75,1393686.75,1387973.25,1368643.25,1334451.75
Apr,1432020.25,1438593.5,1373599.0,1379747.5,1358193.5
May,1503541.25,1465067.75,1431174.5,1408535.75,1404611.5
Jun,1442800.25,1407610.25,1424576.5,1375253.5,1344148.5
Jul,1458619.25,1406940.5,1388234.5,1367345.25,1372150.75
Aug,1500862.25,1491467.5,1486341.0,1431785.75,1411105.75
Sep,1471800.25,1451272.75,1454960.5,1420187.75,1402176.5
Oct,1375624.3333333333,1371676.0,1377313.6666666667,1323072.0,1317444.0
Nov,1481068.0,1471772.0,1412452.6666666667,1371537.3333333333,1405164.0
Dec,1438589.6666666667,1432337.3333333333,1374605.0,1395810.3333333333,1359443.6666666667
